,,,Wolf Management Unit,,,,State
,1,2,3,4,5,6,Total
Livestock Cases,,,,,,,
Depredation,19,1,2,0,2,13,37
Threat,9,0,1,0,0,1,11
,,,,,,,8 of 34
Chronic Farms Affected,7,0,1,0,0,0,
,,,,,,,(24%)
Total Farms Affected,17,1,3,0,1,9,31
Cattle Killed,18,1,2,,2,10,33
Cattle Injured,3,3,,,,,6
Sheep Killed,17,,,,,10,27
Miniature donkeys Killed,,,2,,,,2
Miniature donkeys Injured,,,1,,,,1
Non-Livestock Cases,,,,,,,
Depredation,31,4,3,1,1,4,44
Threat,0,0,0,0,0,0,0
Dogs Killed While Actively Engaged in,,,,,,,
,32,1,2,1,1,3,40
Hunting Activities,,,,,,,
Dogs Injured While Actively Engaged,,,,,,,
,6,3,1,,,1,11
in Hunting Activities,,,,,,,
Dogs Killed While Not Engaged in,,,,,,,
,1,2,,,,1,4
Hunting Activities,,,,,,,
Dogs Injured While Not Engaged in,,,,,,,
,1,,,,,,1
Hunting Activities,,,,,,,
,1,2,3,4,5,6,Total
Livestock Cases,,,,,,,
Depredation,14,0,8,0,2,7,31
Threat,5,0,0,0,1,0,6
,,,,,,,13 of 34
Chronic Farms Affected,9,0,2,0,0,2,
,,,,,,,(38%)
Total Farms Affected,15,0,6,0,3,7,31
Cattle Killed,14,,9,,1,5,29
Cattle Injured,,,,,,1,1
Sheep Killed,,,,,2,2,4
Non-Livestock Cases,,,,,,,
Depredation,9,1,5,1,2,2,20
Threat,1,0,0,0,1,0,2
Dogs Killed While Actively Engaged in,,,,,,,
,8,,6,1,1,1,17
Hunting Activities,,,,,,,
Dogs Injured While Actively Engaged,,,,,,,
,2,3,,1,,4,10
in Hunting Activities,,,,,,,
Dogs Killed While Not Engaged in,,,,,,,
,,,,,,1,1
Hunting Activities,,,,,,,
Dogs Injured While Not Engaged in,,,,,,,
,,,1,,1,,2
Hunting Activities,,,,,,,
,1,2,3,4,5,6,Total
Livestock Cases,,,,,,,
Depredation,11,0,6,0,7,12,36
Threat,0,0,3,0,2,0,5
,,,,,,,8 of 33
Chronic Farms Affected,4,0,2,0,1,1,
,,,,,,,(24%)
Total Farms Affected,7,0,5,0,4,10,26
Cattle Killed,10,,5,,4,11,30
Cattle Injured,,,,,7,1,8
Goats Killed,,,2,,,,2
Goats Injured,,,1,,,,1
Horses Killed,,,,,,1,1
Donkeys Injured,2,,,,,,2
Non-Livestock Cases,,,,,,,
Depredation,10,12,2,0,0,1,25
Threat,0,0,1,0,1,0,2
Dogs Killed While Actively Engaged in,,,,,,,
,7,10,,,,,17
Hunting Activities,,,,,,,
Dogs Injured While Actively Engaged,,,,,,,
,6,5,2,,,,13
in Hunting Activities,,,,,,,
Dogs Killed While Not Engaged in,,,,,,,
,,,,,,1,1
Hunting Activities,,,,,,,
Dogs Injured While Not Engaged in,,,,,,,
,1,,,,,,1
Hunting Activities,,,,,,,
,1,2,3,4,5,6,Total
Livestock Cases,,,,,,,
Confirmed Depredation Incidents,24,5,10,1,6,2,48
Confirmed Threat Incidents,4,0,1,0,2,3,10
,,,,,,,14 of 28
Chronic Farms Affected,6,1,2,0,2,3,
,,,,,,,(50%)
Total Farms Affected,16,1,4,1,7,5,34
Cattle Killed,16,,5,1,3,1,26
Cattle Injured,11,,,,,1,12
Deer Killed,,4,,,,,4
Deer Injured,,1,,,,,1
Sheep Killed,13,,3,,16,,32
Sheep Injured,2,,,,,,2
Goats Killed,1,,6,,,,7
Alpacas Killed,1,,1,,,,2
Alpacas Injured,1,,,,,,1
Pigs Killed,,,1,,,,1
Horses Injured,4,,,,,,4
Non-Livestock Cases,,,,,,,
Confirmed Depredation Incidents,10,11,6,0,1,3,31
Confirmed Threat Incidents,1,1,0,0,1,0,3
Dogs Killed While Actively Engaged in,,,,,,,
,9,10,5,,,,24
Hunting Activities,,,,,,,
Dogs Injured While Actively Engaged,,,,,,,
,,,,,,1,1
in Hunting Activities,,,,,,,
Dogs Killed While Not Engaged in,,,,,,,
,1,,1,,1,1,4
Hunting Activities,,,,,,,
Dogs Injured While Not Engaged in,,,,,,,
,1,1,1,,,2,5
Hunting Activities,,,,,,,
